(SOD_env) user-511@z640:~/small_object_detect$ python train4.py 
🔥 사용 중인 디바이스: cuda | GPU 개수: 2개
총 161381장의 실제 이미지를 불러왔습니다.
/home/user-511/miniconda3/envs/SOD_env/lib/python3.8/site-packages/torch/nn/utils/weight_norm.py:134: FutureWarning: `torch.nn.utils.weight_norm` is deprecated in favor of `torch.nn.utils.parametrizations.weight_norm`.
  WeightNorm.apply(module, name, dim)
🚀 듀얼 GPU(DataParallel) 모드를 활성화합니다!
🔥 모드 콜랩스 방지 코드 적용 완료! 16만 장 듀얼 GPU 집중 학습을 시작합니다...
Epoch [1/15] | Step [1520/10086] | Loss: 8.6873
Epoch [1/15] | Step [1530/10086] | Loss: 8.7103
Epoch [1/15] | Step [1540/10086] | Loss: 8.7134
Epoch [1/15] | Step [1550/10086] | Loss: 8.8148
Epoch [1/15] | Step [1560/10086] | Loss: 8.7294
Epoch [1/15] | Step [1570/10086] | Loss: 8.7163
Epoch [1/15] | Step [1580/10086] | Loss: 8.6247
Epoch [1/15] | Step [1590/10086] | Loss: 8.6798
Epoch [1/15] | Step [1600/10086] | Loss: 8.6864
Epoch [1/15] | Step [1610/10086] | Loss: 8.7247
Epoch [1/15] | Step [1620/10086] | Loss: 8.6668
Epoch [1/15] | Step [1630/10086] | Loss: 8.6526
Epoch [1/15] | Step [1640/10086] | Loss: 8.6425
Epoch [1/15] | Step [1650/10086] | Loss: 8.6347
Epoch [1/15] | Step [1660/10086] | Loss: 8.5833
Epoch [1/15] | Step [1670/10086] | Loss: 8.7211
Epoch [1/15] | Step [1680/10086] | Loss: 8.6976
Epoch [1/15] | Step [1690/10086] | Loss: 8.6525
Epoch [1/15] | Step [1700/10086] | Loss: 8.4672
Epoch [1/15] | Step [1710/10086] | Loss: 8.5595
Epoch [1/15] | Step [1720/10086] | Loss: 8.5252
Epoch [1/15] | Step [1730/10086] | Loss: 8.5163
Epoch [1/15] | Step [1740/10086] | Loss: 8.5121
Epoch [1/15] | Step [1750/10086] | Loss: 8.4310
Epoch [1/15] | Step [1760/10086] | Loss: 8.4971
Epoch [1/15] | Step [1770/10086] | Loss: 8.4986
Epoch [1/15] | Step [1780/10086] | Loss: 8.6162
Epoch [1/15] | Step [1790/10086] | Loss: 8.4247
Epoch [1/15] | Step [1800/10086] | Loss: 8.2025
Epoch [1/15] | Step [1810/10086] | Loss: 8.3337
Epoch [1/15] | Step [1820/10086] | Loss: 8.2034
Epoch [1/15] | Step [1830/10086] | Loss: 8.0693
Epoch [1/15] | Step [1840/10086] | Loss: 8.5568
Epoch [1/15] | Step [1850/10086] | Loss: 8.4824
Epoch [1/15] | Step [1860/10086] | Loss: 8.1511
Epoch [1/15] | Step [1870/10086] | Loss: 8.3852
Epoch [1/15] | Step [1880/10086] | Loss: 8.4203
Epoch [1/15] | Step [1890/10086] | Loss: 8.4243
Epoch [1/15] | Step [1900/10086] | Loss: 8.1271
Epoch [1/15] | Step [1910/10086] | Loss: 8.4019
Epoch [1/15] | Step [1920/10086] | Loss: 8.1377
Epoch [1/15] | Step [1930/10086] | Loss: 8.2240
Epoch [1/15] | Step [1940/10086] | Loss: 8.0341
Epoch [1/15] | Step [1950/10086] | Loss: 7.8654
Epoch [1/15] | Step [1960/10086] | Loss: 8.3058
Epoch [1/15] | Step [1970/10086] | Loss: 7.7769
Epoch [1/15] | Step [1980/10086] | Loss: 7.6324
Epoch [1/15] | Step [1990/10086] | Loss: 8.3358
Epoch [1/15] | Step [2000/10086] | Loss: 8.4039
Epoch [1/15] | Step [2010/10086] | Loss: 8.1077
Epoch [1/15] | Step [2020/10086] | Loss: 8.3313
Epoch [1/15] | Step [2030/10086] | Loss: 8.0424
Epoch [1/15] | Step [2040/10086] | Loss: 7.7379
Epoch [1/15] | Step [2050/10086] | Loss: 7.6710
Epoch [1/15] | Step [2060/10086] | Loss: 7.6474
Epoch [1/15] | Step [2070/10086] | Loss: 7.1832
Epoch [1/15] | Step [2080/10086] | Loss: 7.2602
Epoch [1/15] | Step [2090/10086] | Loss: 7.8086
Epoch [1/15] | Step [2100/10086] | Loss: 7.6904
Epoch [1/15] | Step [2110/10086] | Loss: 8.3161
Epoch [1/15] | Step [2120/10086] | Loss: 7.6325
Epoch [1/15] | Step [2130/10086] | Loss: 7.4688
Epoch [1/15] | Step [2140/10086] | Loss: 7.2019
Epoch [1/15] | Step [2150/10086] | Loss: 7.4483
Epoch [1/15] | Step [2160/10086] | Loss: 6.8486
Epoch [1/15] | Step [2170/10086] | Loss: 7.5613
Epoch [1/15] | Step [2180/10086] | Loss: 7.7208
Epoch [1/15] | Step [2190/10086] | Loss: 7.8607
Epoch [1/15] | Step [2200/10086] | Loss: 6.9019
Epoch [1/15] | Step [2210/10086] | Loss: 6.2461
Epoch [1/15] | Step [2220/10086] | Loss: 6.6911
Epoch [1/15] | Step [2230/10086] | Loss: 7.5271
Epoch [1/15] | Step [2240/10086] | Loss: 7.4125
Epoch [1/15] | Step [2250/10086] | Loss: 7.0146
Epoch [1/15] | Step [2260/10086] | Loss: 6.7684
Epoch [1/15] | Step [2270/10086] | Loss: 7.0310
Epoch [1/15] | Step [2280/10086] | Loss: 7.2667
Epoch [1/15] | Step [2290/10086] | Loss: 6.6255
Epoch [1/15] | Step [2300/10086] | Loss: 6.9475
Epoch [1/15] | Step [2310/10086] | Loss: 7.4630
Epoch [1/15] | Step [2320/10086] | Loss: 6.6485
Epoch [1/15] | Step [2330/10086] | Loss: 6.8050
Epoch [1/15] | Step [2340/10086] | Loss: 6.2448
Epoch [1/15] | Step [2350/10086] | Loss: 6.7945
